#lat, long
43.612736,7.079357
43.612669,7.079243
43.612522,7.079179
43.612432,7.079147
43.612366,7.079048
43.612304,7.078982
43.612246,7.078964
43.611973,7.079333
43.611956,7.079453
43.612008,7.079529
43.612101,7.079949
43.612274,7.080104
43.612373,7.080015
43.612492,7.079833
43.612475,7.079789
43.612555,7.079675
43.612600,7.079692
43.612721,7.079515
